nombre_escenario,direccion,barrio,latitud,longitud
Gimnasio al aire libre Carpinelo,CARRERA 27    97 A   34,Carpinelo,6.25097,-75.54781
Gimnasio al aire libre Divina Providencia,CARRERA 43 B   108    10,Popular 1-2,6.21098,-75.57118
Gimnasio al aire libre El Compromiso,CARRERA 29    97 A   55,Aldea Pablo VI,6.18915,-75.56399
Gimnasio al aire libre El Rompoy Popular N 1,CALLE 120    42 B B  34,Popular 1-2,6.30317,-75.54539
Gimnasio al aire libre Santo Domingo,CALLE 107 B   35    50,Santo Domingo Sabio NÂº 1,6.29545,-75.54356
"Gimnasio al aire libre Unidad Deportiva Granizal,CALLE 102    34    222,""Popular, Granizal"",6.29126,-75.5446"
Gimnasio al aire libre Villa Guadalupe,CARRERA 40    95    0,Villa Guadalupe,6.28679,-75.54957
Gimnasio al aire libre La Mixta San Pablo,CARRERA 36    96,San Pablo,6.28667,-75.5461
Gimnasio al aire libre Popular N 1 EstaciÃ³n Metrocable,CALLE 107 A   42 B   53,Popular 1-2,6.3082,-75.5774
"Gimnasio al aire libre Popular N 1,CARRERA 37 B   107,""Popular, Granizal"",6.29418,-75.54652"
Gimnasio al aire libre La Polvorera,CALLE 107 B   29    09,Santo Domingo Sabio NÂº 1,6.29613,-75.54122
Ludoteka Popular Divina Providencia,CARRERA 43 B   108    10,Popular 1-2,6.21098,-75.57118
"NÃºcleo recreativo Unidad Deportiva Granizal,CALLE 102    34    222,""Popular, Granizal"",6.29126,-75.5446"
"Sede administrativa o espacio complementario Unidad Deportiva Granizal,CALLE 102    34    222,""Popular, Granizal"",6.29126,-75.5446"
Cancha polideportiva Carpinelo,CARRERA 27    97 A   34,Carpinelo,6.25097,-75.54781
Cancha de vÃ³ley playa en arenilla Unidad Deportiva BelÃ©n RincÃ³n,CARRERA 76 A   1 C   05,El RincÃ³n,6.21257,-75.6
Piscina de nado Sincronizado Complejo AcuÃ¡tico Unidad Deportiva Atanasio Girardot,CARRERA 70    48    193,Laureles,6.25362,-75.58777
Sede administrativa o espacio complementario Parque de Ajedrez Unidad Deportiva Atanasio Girardot,CARRERA 70    48    193,Laureles,6.25362,-75.58777
Pista de patinaje Guillermo LeÃ³n Botero Unidad Deportiva Atanasio Girardot,CALLE 47 D   75    106  106,Estadio,6.25474,-75.59272
Muro de prÃ¡ctica de tenis de Campo N 1 Unidad TenÃ­stica Carlos J. EchavarrÃ­a,CARRERA 70    48    193,Laureles,6.25362,-75.58777
"VelÃ³dromo MartÃ­n Emilio ""Cochise"" RodrÃ­guez,CALLE 47 D   75    276  130,Estadio,6.2563,-75.59374"
Muro de prÃ¡ctica de tenis de Campo N 2 Unidad TenÃ­stica Carlos J. EchavarrÃ­a,CARRERA 70    48    193,Laureles,6.25362,-75.58777
Muro de prÃ¡ctica de tenis de Campo N 3 Unidad TenÃ­stica Carlos J. EchavarrÃ­a,CARRERA 70    48    193,Laureles,6.25362,-75.58777
Plazoleta multipropÃ³sito N 1 Unidad Deportiva Atanasio Girardot,CARRERA 70    48    193,Laureles,6.25362,-75.58777
"Ludoteka Unidad Deportiva Granizal,CALLE 102    34    222,""Popular, Granizal"",6.29126,-75.5446"
